Benchmark, Cache size, Block Size, Associativity, Cache Latency, Cache Energy, Data Hits, Data Misses, Writebacks, Instructions Hits, Instruction Misses
0,16384,256,4,1.375500,0.037533,10893,106,18,43852,184
0,16384,256,4,1.375500,0.037533,1040813,177,81,7696658,107
0,16384,256,4,1.375500,0.037533,42996468,42,0,132874247,1343481
0,16384,512,1,1.182570,0.033274,49246082,4709112,1402110,134017087,200641
0,16384,512,1,1.182570,0.033274,10880,119,48,43830,206
0,16384,512,1,1.182570,0.033274,1004268,36722,9463,7696664,101
0,16384,512,1,1.182570,0.033274,42996483,27,0,131538451,2679277
0,16384,512,2,1.182690,0.033113,53724546,230648,78473,134104165,113563
0,16384,512,2,1.182690,0.033113,10928,71,23,43905,131
0,16384,512,2,1.182690,0.033113,1035338,5652,726,7696683,82
0,16384,512,2,1.182690,0.033113,42996483,27,0,131846714,2371014
0,16384,1024,1,1.182570,0.033274,47163260,6791934,2087162,134060177,157551
0,16384,1024,1,1.182570,0.033274,10866,133,69,43852,184
0,16384,1024,1,1.182570,0.033274,968224,72766,18742,7696675,90
0,16384,1024,1,1.182570,0.033274,42991640,4870,2428,132507786,1709942
0,32768,32,1,1.268670,0.063432,52914718,1040476,303598,133401111,816617
0,32768,32,1,1.268670,0.063432,10378,621,22,43232,804
0,32768,32,1,1.268670,0.063432,1038369,2621,49,7696349,416
0,32768,32,1,1.268670,0.063432,42996325,185,0,131067402,3150326
0,32768,32,2,1.268900,0.062645,53914107,41087,16608,133865075,352653
0,32768,32,2,1.268900,0.062645,10392,607,15,43251,785
0,32768,32,2,1.268900,0.062645,1040001,989,23,7696354,411
0,32768,32,2,1.268900,0.062645,42996325,185,0,134088580,129148
0,32768,32,4,1.269070,0.062103,53927805,27389,7537,133828341,389387
0,32768,32,4,1.269070,0.062103,10392,607,1,43259,777
0,32768,32,4,1.269070,0.062103,1039998,992,20,7696358,407
0,32768,32,4,1.269070,0.062103,42996325,185,0,134177749,39979
0,32768,32,8,1.479440,0.091149,53936594,18600,5834,133810799,406929
0,32768,32,8,1.479440,0.091149,10392,607,0,43261,775
0,32768,32,8,1.479440,0.091149,1039997,993,21,7696358,407
0,32768,32,8,1.479440,0.091149,42996325,185,0,134216641,1087
0,32768,32,16,1.561380,0.171257,53942551,12643,2303,133777789,439939
0,32768,32,16,1.561380,0.171257,10392,607,0,43261,775
0,32768,32,16,1.561380,0.171257,1040004,986,7,7696358,407
